County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Woods County, Oklahoma(6)",40151,442.5,1685.7000000000003,92738.00000000001,5432.8,0.0
"Alcorn County, Mississippi(6)",28003,442.5,540.9,25366.5,879.6999999999999,0.0
"Payne County, Oklahoma(6)",40119,442.5,2871.4,33412.6,255.10000000000002,0.0
"Quitman County, Georgia(7)",13239,442.5,143.89999999999998,1083.5,84.8,0.0
"Stephens County, Texas(7)",48429,442.5,43.300000000000004,8199.7,19.1,0.0
"Columbus County, North Carolina(6)",37047,442.4,8068.999999999999,150345.0,4114.7,0.0
"Essex County, Vermont(6)",50009,442.4,105.6,1930.1,36.7,0.0
"Petroleum County, Montana(6)",30069,442.3,461.3,27217.2,95.30000000000001,0.0
"Sussex County, Delaware(6)",10005,442.3,10419.4,629484.6,8339.1,0.0
"Blaine County, Oklahoma(6)",40011,442.3,4264.2,42184.2,1984.6,0.0
