County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Fayette County, Tennessee(6)",47047,463.4,123.3,13.2,64.0,17.7,109.7,8209.800000000001,208528.9,3968.8
"Benzie County, Michigan(6)",26019,463.4,123.3,13.2,64.0,17.7,109.6,735.2999999999998,1552.5,606.9999999999999
"Westchester County, New York(7)",36119,463.3,123.3,13.2,64.0,17.7,109.6,97.2,142.09999999999997,29.099999999999998
"Lowndes County, Mississippi(6)",28087,463.3,123.3,13.2,64.0,17.6,109.6,6551.700000000001,132689.80000000002,1517.7
"Oscoda County, Michigan(6)",26135,463.2,123.3,13.2,63.9,17.6,109.6,147.79999999999998,2818.7000000000003,200.90000000000003
"Berkshire County, Massachusetts(7)",25003,463.2,123.3,13.2,63.9,17.6,109.6,235.3,4799.1,92.2
"Noxubee County, Mississippi(6)",28103,463.2,123.3,13.1,63.9,17.6,109.6,15148.699999999999,297755.5,1991.8999999999999
"Smith County, Mississippi(6)",28129,463.2,123.3,13.1,63.9,17.6,109.6,773.8,5637.2,114.89999999999999
"Whatcom County, Washington(7)",53073,463.1,123.3,13.1,63.9,17.6,109.5,290.09999999999997,15460.2,814.4
"Kootenai County, Idaho(7)",16055,463.0,123.2,13.1,63.9,17.6,109.5,572.3999999999999,11907.6,1187.9
"Aroostook County, Maine(6)",23003,462.9,123.2,13.1,63.9,17.6,109.4,3653.7,66824.59999999999,925.8
"Anne Arundel County, Maryland(6)",24003,462.8,123.2,13.1,63.9,17.6,109.4,586.4000000000001,14006.000000000002,268.2
"Stanley County, South Dakota(6)",46117,462.8,123.2,13.1,63.8,17.6,109.4,3233.9999999999995,105908.29999999999,2410.0
"Wood County, Ohio(6)",39173,462.7,123.1,13.1,63.8,17.6,109.4,3168.5,267492.0,2919.5
"Marshall County, Mississippi(6)",28093,462.7,123.1,13.1,63.8,17.6,109.4,5176.4,84033.49999999999,1355.8
"Norfolk County, Massachusetts(7)",25021,462.7,123.1,13.1,63.8,17.6,109.4,39.5,107.7,21.999999999999996
"Rock Island County, Illinois(7)",17161,462.7,123.1,13.1,63.7,17.5,109.4,1304.3000000000002,171378.4,1672.2000000000003
